[     297ms] [LOG] %c欢迎使用CesiumTdt插件，%c该插件由Jason提供，%c目前支持1.120版本 color: green; font-size: 16px; font-weight: bold; color: blue; font-size: 14px; font-style: italic; color: red; font-size: 14px; font-weight: bold; @ http://localhost:8080/lib/cesiumTdt.js:0
[ 1683336ms] [LOG] An error occurred in "": Failed to obtain terrain tile X: 2070 Y: 1018 Level: 11. Error message: "undefined" @ https://cesium.com/downloads/cesiumjs/releases/1.120/Build/Cesium/Cesium.js:85
[ 1683377ms] [LOG] An error occurred in "": Failed to obtain terrain tile X: 2071 Y: 1019 Level: 11. Error message: "undefined" @ https://cesium.com/downloads/cesiumjs/releases/1.120/Build/Cesium/Cesium.js:85
[ 1683378ms] [LOG] An error occurred in "": Failed to obtain terrain tile X: 2069 Y: 1020 Level: 11. Error message: "undefined" @ https://cesium.com/downloads/cesiumjs/releases/1.120/Build/Cesium/Cesium.js:85
[ 1683379ms] [LOG] An error occurred in "": Failed to obtain terrain tile X: 2071 Y: 1020 Level: 11. Error message: "undefined" @ https://cesium.com/downloads/cesiumjs/releases/1.120/Build/Cesium/Cesium.js:85
[ 1683380ms] [LOG] An error occurred in "": Failed to obtain terrain tile X: 2069 Y: 1018 Level: 11. Error message: "undefined" @ https://cesium.com/downloads/cesiumjs/releases/1.120/Build/Cesium/Cesium.js:85
[ 1683382ms] [LOG] An error occurred in "": Failed to obtain terrain tile X: 516 Y: 254 Level: 9. Error message: "undefined" @ https://cesium.com/downloads/cesiumjs/releases/1.120/Build/Cesium/Cesium.js:85
[ 1683398ms] [LOG] An error occurred in "": Failed to obtain terrain tile X: 2072 Y: 1019 Level: 11. Error message: "undefined" @ https://cesium.com/downloads/cesiumjs/releases/1.120/Build/Cesium/Cesium.js:85
[ 1683405ms] [LOG] An error occurred in "": Failed to obtain terrain tile X: 1035 Y: 510 Level: 10. Error message: "undefined" @ https://cesium.com/downloads/cesiumjs/releases/1.120/Build/Cesium/Cesium.js:85
[ 1683406ms] [LOG] An error occurred in "": Failed to obtain terrain tile X: 2072 Y: 1020 Level: 11. Error message: "undefined" @ https://cesium.com/downloads/cesiumjs/releases/1.120/Build/Cesium/Cesium.js:85
[ 1683407ms] [LOG] An error occurred in "": Failed to obtain terrain tile X: 517 Y: 254 Level: 9. Error message: "undefined" @ https://cesium.com/downloads/cesiumjs/releases/1.120/Build/Cesium/Cesium.js:85
